,precision,recall,f1-score,support
0.0,0.6226550966766283,0.8643474783825661,0.7238593553788196,20007.0
1.0,0.7780322237670728,0.47581653578752564,0.5905027932960893,19993.0
accuracy,0.67015,0.67015,0.67015,0.67015
macro avg,0.7003436602218506,0.6700820070850458,0.6571810743374544,40000.0
weighted avg,0.7003164692246097,0.67015,0.6572044117358189,40000.0
